MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
103:+0.919|+0.000|+0.108|-0.360|-0.000|+0.000|+0.450|+0.000|+0.000|+0.000|+0.000|+0.000|+0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
104:+0.451|+0.000|+0.576|+0.108|-0.000|+0.000|+0.468|+0.000|+0.000|+0.000|+0.000|+0.000|-0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
105:-0.017|+0.000|+0.108|+0.594|-0.000|+0.000|-0.468|+0.000|+0.000|+0.000|+0.000|+0.000|-0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
106:+0.469|+0.000|-0.360|+0.108|-0.000|+0.000|-0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
107:+0.937|+0.000|+0.108|-0.378|-0.000|+0.000|+0.468|+0.000|+0.000|+0.000|+0.000|+0.000|+0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
108:+0.451|+0.000|+0.594|+0.108|-0.000|+0.000|+0.486|+0.000|+0.000|+0.000|+0.000|+0.000|-0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
109:-0.035|+0.000|+0.108|+0.612|-0.000|+0.000|-0.486|+0.000|+0.000|+0.000|+0.000|+0.000|-0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
110:+0.469|+0.000|-0.378|+0.108|-0.000|+0.000|-0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.504|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
111:+0.955|+0.000|+0.108|-0.396|-0.000|+0.000|+0.486|+0.000|+0.000|+0.000|+0.000|+0.000|+0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
112:+0.452|+0.000|+0.612|+0.108|-0.000|+0.000|+0.504|+0.000|+0.000|+0.000|+0.000|+0.000|-0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
113:-0.053|+0.000|+0.108|+0.630|-0.000|+0.000|-0.504|+0.000|+0.000|+0.000|+0.000|+0.000|-0.522|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
