H0|H0'|E|1|1_p1|1_p2|partial1|
173:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
174:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
175:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
176:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
177:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
178:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
179:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
180:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
181:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
182:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
183:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
184:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
185:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
186:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
187:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
188:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
189:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
190:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
191:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
192:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
193:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
194:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
195:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
196:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
197:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
198:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
199:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
200:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
201:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
202:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
203:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
204:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
205:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
