H0|H0'|E|1|1_p1|1_p2|partial1|
226:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
227:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
228:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
229:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
230:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
231:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
232:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
233:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
234:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
235:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
236:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
237:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
238:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
239:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
240:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
241:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
242:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
243:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
244:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
245:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
246:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
247:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
248:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
249:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
250:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
251:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
252:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
253:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
254:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
255:+0.582|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
256:+0.600|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
257:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
258:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
259:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
260:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
261:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
262:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
263:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
264:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
265:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
266:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
267:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
268:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
269:+0.599|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
270:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
271:+0.581|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
272:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
273:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
274:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
275:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
276:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
277:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
278:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
279:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
280:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
281:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
282:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
283:+0.580|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
284:+0.598|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
285:+0.597|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
286:+0.579|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
287:+0.579|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
288:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
289:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
290:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
291:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
292:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
293:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
294:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
295:+0.579|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
296:+0.597|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
297:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
298:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
299:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
300:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
301:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
302:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
303:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
304:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
305:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
306:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
307:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
308:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
309:+0.596|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
310:+0.578|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
311:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
312:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
313:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
314:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
315:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
316:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
317:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
318:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
319:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
320:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
321:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
322:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
323:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
324:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
325:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
326:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
327:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
328:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
329:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
330:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
331:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
332:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
333:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
334:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
335:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
336:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
337:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
338:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
339:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
340:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
341:+0.594|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
342:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
343:+0.576|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
